question_id,category,question,expected_source,expected_page,mode,hit,mrr,retrieved_count,top_retrieved_source,top_retrieved_page
1,"Academic, Wellbeing and Social Support",Who are the Senior Tutors in the School of Computer Science and what are their email addresses?,academic_wellbeing_and_social_support_cs_handbook.pdf,Page 1,dense_only,1.0,1.0,4,academic_wellbeing_and_social_support_cs_handbook.pdf,1
2,"Academic, Wellbeing and Social Support",What is the direct email address for contacting the Computer Science Wellbeing Officers?,academic_wellbeing_and_social_support_cs_handbook.pdf,Page 2,dense_only,1.0,1.0,4,academic_wellbeing_and_social_support_cs_handbook.pdf,2
3,"Academic, Wellbeing and Social Support",What specific facility in the Main Library is highlighted for neurodiverse students to use for studying?,academic_wellbeing_and_social_support_cs_handbook.pdf,Page 4,dense_only,1.0,1.0,4,academic_wellbeing_and_social_support_cs_handbook.pdf,4
4,"Academic, Wellbeing and Social Support","What Academic English support program is provided free of charge to international students by the Birmingham International Academy (BIA), and what is its contact email address?",academic_wellbeing_and_social_support_cs_handbook.pdf,Page 5,dense_only,1.0,1.0,4,academic_wellbeing_and_social_support_cs_handbook.pdf,5
5,"Academic, Wellbeing and Social Support","What is the name of the student-led hacking club at the University of Birmingham, what is its website, and what primary topic do they cover weekly?",academic_wellbeing_and_social_support_cs_handbook.pdf,Page 7,dense_only,0.0,0.0,4,academic_wellbeing_and_social_support_cs_handbook.pdf,6
6,"Academic, Wellbeing and Social Support",Where is the Multi-Faith Chaplaincy located on campus?,academic_wellbeing_and_social_support_cs_handbook.pdf,Page 8,dense_only,1.0,1.0,2,academic_wellbeing_and_social_support_cs_handbook.pdf,8
7,General Information,"What is the room number, floor, and building location of the Education Support Office (ESO)?",general_information_cs_handbook.pdf,Page 3,dense_only,1.0,1.0,4,general_information_cs_handbook.pdf,3
8,General Information,What are the contact email addresses for undergraduate and postgraduate taught (MSc) students to reach the Education Support Office (ESO)?,general_information_cs_handbook.pdf,Page 3,dense_only,1.0,1.0,4,general_information_cs_handbook.pdf,3
9,General Information,What are the standard teaching hours on Wednesday and Friday during the UK University teaching week?,general_information_cs_handbook.pdf,Page 6,dense_only,1.0,1.0,4,general_information_cs_handbook.pdf,6
10,General Information,What are the three study spaces/facilities mentioned within the Computer Science building that are dedicated or available to Computer Science students?,general_information_cs_handbook.pdf,Page 7,dense_only,1.0,1.0,4,general_information_cs_handbook.pdf,7
11,General Information,"What is the maximum duration permitted for an Authorised Absence, and which group of students is eligible for it?",general_information_cs_handbook.pdf,Page 9,dense_only,1.0,1.0,4,general_information_cs_handbook.pdf,9
12,General Information,What are the emergency and non-emergency telephone numbers for Security Services?,general_information_cs_handbook.pdf,Page 12,dense_only,1.0,0.5,4,library_it_services_and_security_cs_handbook.pdf,3
13,"Library, IT Services, and Security",How many printed books/manuscripts and electronic books are accessible through Library Services?,library_it_services_and_security_cs_handbook.pdf,Page 1,dense_only,1.0,1.0,4,library_it_services_and_security_cs_handbook.pdf,1
